Type,ConditionLabel,Numeral,BaseFormOfTargetNoun,FinalSentence,TargetAudioFile,PathOfAudioFile,Group,OutputAudioFile,PluralFormOfTargetNoun,CountFormOfTargetNoun,OtherPluralForm
filler2,APAdvAN,,креват,Снощи бяха поправени счупените с много големия камък,Fillers2_STE-072_mono.wav,Fillers2_STE-072_mono.wav,B,filler2_APAdvAN_креват__B,кревати,кревата,
filler2,A,,войник,На листа личаха нарисуваните,Fillers2_STE-001_mono.wav,Fillers2_STE-001_mono.wav,B,filler2_A_войник__B,войници,войника,
filler2,APN,,войник,На листа личаха нарисуваните с моливa,Fillers2_STE-002_mono.wav,Fillers2_STE-002_mono.wav,C,filler2_APN_войник__C,войници,войника,
filler2,APAdvAN,,войник,На листа личаха нарисуваните с много малкия молив,Fillers2_STE-003_mono.wav,Fillers2_STE-003_mono.wav,A,filler2_APAdvAN_войник__A,войници,войника,
filler2,A,,домат,В хладилника бяха сложени нарязани,Fillers2_STE-004_mono.wav,Fillers2_STE-004_mono.wav,A,filler2_A_домат__A,домати,домата,
filler2,APN,,домат,В хладилника бяха сложени нарязани с ножа,Fillers2_STE-005_mono.wav,Fillers2_STE-005_mono.wav,B,filler2_APN_домат__B,домати,домата,
filler2,APAdvAN,,домат,В хладилника бяха сложени нарязани с много острия нож,Fillers2_STE-006_mono.wav,Fillers2_STE-006_mono.wav,C,filler2_APAdvAN_домат__C,домати,домата,
filler2,A,,орех,В гората се виждаха отсечените,Fillers2_STE-007_mono.wav,Fillers2_STE-007_mono.wav,C,filler2_A_орех__C,орехи,ореха,
filler2,APN,,орех,В гората се виждаха отсечените от дърваря,Fillers2_STE-008_mono.wav,Fillers2_STE-008_mono.wav,A,filler2_APN_орех__A,орехи,ореха,
filler2,APAdvAN,,орех,В гората се виждаха отсечените от много стария дървар,Fillers2_STE-009_mono.wav,Fillers2_STE-009_mono.wav,B,filler2_APAdvAN_орех__B,орехи,ореха,
filler2,A,,язовир,На конференцията се обсъждаха замърсените,Fillers2_STE-010_mono.wav,Fillers2_STE-010_mono.wav,B,filler2_A_язовир__B,язовири,язовира,
filler2,APN,,язовир,На конференцията се обсъждаха замърсените с химикал,Fillers2_STE-011_mono.wav,Fillers2_STE-011_mono.wav,C,filler2_APN_язовир__C,язовири,язовира,
filler2,APAdvAN,,язовир,На конференцията се обсъждаха замърсените с много опасен химикал,Fillers2_STE-012_mono.wav,Fillers2_STE-012_mono.wav,A,filler2_APAdvAN_язовир__A,язовири,язовира,
filler2,A,,курорт,На снимката се открояваха новоизградените,Fillers2_STE-013_mono.wav,Fillers2_STE-013_mono.wav,A,filler2_A_курорт__A,курорти,курорта,
filler2,APN,,курорт,На снимката се открояваха новоизградените от предприемача,Fillers2_STE-014_mono.wav,Fillers2_STE-014_mono.wav,B,filler2_APN_курорт__B,курорти,курорта,
filler2,APAdvAN,,курорт,На снимката се открояваха новоизградените от много богатия предприемач,Fillers2_STE-015_mono.wav,Fillers2_STE-015_mono.wav,C,filler2_APAdvAN_курорт__C,курорти,курорта,
filler2,A,,пуловер,В гардероба бяха закачени почистените,Fillers2_STE-016_mono.wav,Fillers2_STE-016_mono.wav,C,filler2_A_пуловер__C,пуловери,пуловера,
filler2,APN,,пуловер,В гардероба бяха закачени почистените с препарат,Fillers2_STE-017_mono.wav,Fillers2_STE-017_mono.wav,A,filler2_APN_пуловер__A,пуловери,пуловера,
filler2,APAdvAN,,пуловер,В гардероба бяха закачени почистените с много силен препарат,Fillers2_STE-018_mono.wav,Fillers2_STE-018_mono.wav,B,filler2_APAdvAN_пуловер__B,пуловери,пуловера,
filler2,A,,ученик,В ъгъла стояха наказаните,Fillers2_STE-019_mono.wav,Fillers2_STE-019_mono.wav,B,filler2_A_ученик__B,ученици,ученика,
filler2,APN,,ученик,В ъгъла стояха наказаните от учителя,Fillers2_STE-020_mono.wav,Fillers2_STE-020_mono.wav,C,filler2_APN_ученик__C,ученици,ученика,
filler2,APAdvAN,,ученик,В ъгъла стояха наказаните от много строгия учител,Fillers2_STE-021_mono.wav,Fillers2_STE-021_mono.wav,A,filler2_APAdvAN_ученик__A,ученици,ученика,
filler2,A,,учител,На стола си почиваха консултираните,Fillers2_STE-022_mono.wav,Fillers2_STE-022_mono.wav,A,filler2_A_учител__A,учители,учителя,
filler2,APN,,учител,На стола си почиваха консултираните от психолога,Fillers2_STE-023_mono.wav,Fillers2_STE-023_mono.wav,B,filler2_APN_учител__B,учители,учителя,
filler2,APAdvAN,,учител,На стола си почиваха консултираните от много опитния психолог,Fillers2_STE-024_mono.wav,Fillers2_STE-024_mono.wav,C,filler2_APAdvAN_учител__C,учители,учителя,
filler2,A,,роман,Лесно се четяха редактираните,Fillers2_STE-025_mono.wav,Fillers2_STE-025_mono.wav,C,filler2_A_роман__C,романи,романа,
filler2,APN,,роман,Лесно се четяха редактираните от редактора,Fillers2_STE-026_mono.wav,Fillers2_STE-026_mono.wav,A,filler2_APN_роман__A,романи,романа,
filler2,APAdvAN,,роман,Лесно се четяха редактираните от много внимателния редактор,Fillers2_STE-027_mono.wav,Fillers2_STE-027_mono.wav,B,filler2_APAdvAN_роман__B,романи,романа,
filler2,A,,емигрант,В полицията бяха идентифицирани превозените,Fillers2_STE-028_mono.wav,Fillers2_STE-028_mono.wav,B,filler2_A_емигрант__B,емигранти,емигранта,
filler2,APN,,емигрант,В полицията бяха идентифицирани превозените в тира,Fillers2_STE-029_mono.wav,Fillers2_STE-029_mono.wav,C,filler2_APN_емигрант__C,емигранти,емигранта,
filler2,APAdvAN,,емигрант,В полицията бяха идентифицирани превозените в много големия тир,Fillers2_STE-030_mono.wav,Fillers2_STE-030_mono.wav,A,filler2_APAdvAN_емигрант__A,емигранти,емигранта,
filler2,A,,гирлянд,От кутията се показваха съхраняваните,Fillers2_STE-031_mono.wav,Fillers2_STE-031_mono.wav,A,filler2_A_гирлянд__A,гирлянди,гирлянда,
filler2,APN,,гирлянд,От кутията се показваха съхраняваните от дамата,Fillers2_STE-032_mono.wav,Fillers2_STE-032_mono.wav,B,filler2_APN_гирлянд__B,гирлянди,гирлянда,
filler2,APAdvAN,,гирлянд,От кутията се показваха съхраняваните от много младата дама,Fillers2_STE-033_mono.wav,Fillers2_STE-033_mono.wav,C,filler2_APAdvAN_гирлянд__C,гирлянди,гирлянда,
filler2,A,,крем,В аптеката се продаваха рекламираните,Fillers2_STE-034_mono.wav,Fillers2_STE-034_mono.wav,C,filler2_A_крем__C,кремове,крема,
filler2,APN,,крем,В аптеката се продаваха рекламираните от компанията,Fillers2_STE-035_mono.wav,Fillers2_STE-035_mono.wav,A,filler2_APN_крем__A,кремове,крема,
filler2,APAdvAN,,крем,В аптеката се продаваха рекламираните от много известната компания,Fillers2_STE-036_mono.wav,Fillers2_STE-036_mono.wav,B,filler2_APAdvAN_крем__B,кремове,крема,
filler2,A,,камък,След обяд бяха намерени хвърлените,Fillers2_STE-037_mono.wav,Fillers2_STE-037_mono.wav,B,filler2_A_камък__B,камъни,камъка,
filler2,APN,,камък,След обяд бяха намерени хвърлените в реката,Fillers2_STE-038_mono.wav,Fillers2_STE-038_mono.wav,C,filler2_APN_камък__C,камъни,камъка,
filler2,APAdvAN,,камък,След обяд бяха намерени хвърлените в много голямата река,Fillers2_STE-039_mono.wav,Fillers2_STE-039_mono.wav,A,filler2_APAdvAN_камък__A,камъни,камъка,
filler2,A,,документ,Във вестника бяха публикувани приетите,Fillers2_STE-040_mono.wav,Fillers2_STE-040_mono.wav,A,filler2_A_документ__A,документи,документа,
filler2,APN,,документ,Във вестника бяха публикувани приетите след срещата,Fillers2_STE-041_mono.wav,Fillers2_STE-041_mono.wav,B,filler2_APN_документ__B,документи,документа,
filler2,APAdvAN,,документ,Във вестника бяха публикувани приетите след много късната среща,Fillers2_STE-042_mono.wav,Fillers2_STE-042_mono.wav,C,filler2_APAdvAN_документ__C,документи,документа,
filler2,A,,карамфил,От градината бяха откъснати засадените,Fillers2_STE-043_mono.wav,Fillers2_STE-043_mono.wav,C,filler2_A_карамфил__C,карамфили,карамфила,
filler2,APN,,карамфил,От градината бяха откъснати засадените от девойката,Fillers2_STE-044_mono.wav,Fillers2_STE-044_mono.wav,A,filler2_APN_карамфил__A,карамфили,карамфила,
filler2,APAdvAN,,карамфил,От градината бяха откъснати засадените от много красивата девойка,Fillers2_STE-045_mono.wav,Fillers2_STE-045_mono.wav,B,filler2_APAdvAN_карамфил__B,карамфили,карамфила,
filler2,A,,овен,Във фермата живееха отгледаните,Fillers2_STE-046_mono.wav,Fillers2_STE-046_mono.wav,B,filler2_A_овен__B,овни,овена,овени
filler2,APN,,овен,Във фермата живееха отгледаните от фермерката,Fillers2_STE-047_mono.wav,Fillers2_STE-047_mono.wav,C,filler2_APN_овен__C,овни,овена,овени
filler2,APAdvAN,,овен,Във фермата живееха отгледаните от много старата фермерка,Fillers2_STE-048_mono.wav,Fillers2_STE-048_mono.wav,A,filler2_APAdvAN_овен__A,овни,овена,овени
filler2,A,,панталон,Бързо се купуваха разкроените,Fillers2_STE-049_mono.wav,Fillers2_STE-049_mono.wav,A,filler2_A_панталон__A,панталони,панталона,
filler2,APN,,панталон,Бързо се купуваха разкроените от шивачката,Fillers2_STE-050_mono.wav,Fillers2_STE-050_mono.wav,B,filler2_APN_панталон__B,панталони,панталона,
filler2,APAdvAN,,панталон,Бързо се купуваха разкроените от много опитната шивачка,Fillers2_STE-051_mono.wav,Fillers2_STE-051_mono.wav,C,filler2_APAdvAN_панталон__C,панталони,панталона,
filler2,A,,гардероб,Тази сутрин бяха подредени почистените,Fillers2_STE-052_mono.wav,Fillers2_STE-052_mono.wav,C,filler2_A_гардероб__C,гардероби,гардероба,
filler2,APN,,гардероб,Тази сутрин бяха подредени почистените от домакинята,Fillers2_STE-053_mono.wav,Fillers2_STE-053_mono.wav,A,filler2_APN_гардероб__A,гардероби,гардероба,
filler2,APAdvAN,,гардероб,Тази сутрин бяха подредени почистените от много добрата домакиня,Fillers2_STE-054_mono.wav,Fillers2_STE-054_mono.wav,B,filler2_APAdvAN_гардероб__B,гардероби,гардероба,
filler2,A,,портрет,На стената висяха дарените портрети,Fillers2_STE-055_mono.wav,Fillers2_STE-055_mono.wav,B,filler2_A_портрет__B,портрети,портрета,
filler2,APN,,портрет,На стената висяха дарените от фирмата,Fillers2_STE-056_mono.wav,Fillers2_STE-056_mono.wav,C,filler2_APN_портрет__C,портрети,портрета,
filler2,APAdvAN,,портрет,На стената висяха дарените от много известната фирма,Fillers2_STE-057_mono.wav,Fillers2_STE-057_mono.wav,A,filler2_APAdvAN_портрет__A,портрети,портрета,
filler2,A,,байрак,На площада се развяваха ушитите,Fillers2_STE-058_mono.wav,Fillers2_STE-058_mono.wav,A,filler2_A_байрак__A,байраци,байрака,
filler2,APN,,байрак,На площада се развяваха ушитите от вдовицата,Fillers2_STE-059_mono.wav,Fillers2_STE-059_mono.wav,B,filler2_APN_байрак__B,байраци,байрака,
filler2,APAdvAN,,байрак,На площада се развяваха ушитите от много смелата вдовица,Fillers2_STE-060_mono.wav,Fillers2_STE-060_mono.wav,C,filler2_APAdvAN_байрак__C,байраци,байрака,
filler2,A,,далматинец,На дивана лежаха обучените,Fillers2_STE-061_mono.wav,Fillers2_STE-061_mono.wav,C,filler2_A_далматинец__C,далматинци,далматинеца,
filler2,APN,,далматинец,На дивана лежаха обучените от стопанката,Fillers2_STE-062_mono.wav,Fillers2_STE-062_mono.wav,A,filler2_APN_далматинец__A,далматинци,далматинеца,
filler2,APAdvAN,,далматинец,На дивана лежаха обучените от много добрата стопанка,Fillers2_STE-063_mono.wav,Fillers2_STE-063_mono.wav,B,filler2_APAdvAN_далматинец__B,далматинци,далматинеца,
filler2,A,,дворец,Преди дни бяха отворени реставрираните,Fillers2_STE-064_mono.wav,Fillers2_STE-064_mono.wav,B,filler2_A_дворец__B,дворци,двореца,
filler2,APN,,дворец,Преди дни бяха отворени реставрираните от реставраторката,Fillers2_STE-065_mono.wav,Fillers2_STE-065_mono.wav,C,filler2_APN_дворец__C,дворци,двореца,
filler2,APAdvAN,,дворец,Преди дни бяха отворени реставрираните от много известната реставраторка,Fillers2_STE-066_mono.wav,Fillers2_STE-066_mono.wav,A,filler2_APAdvAN_дворец__A,дворци,двореца,
filler3,A,,рокля,В пералнята се перяха намокрените,Fillers3_STE-001_mono.wav,Fillers3_STE-001_mono.wav,A,filler3_A_рокля__A,рокли,рокли,
filler3,APN,,рокля,В пералнята се перяха намокрените от дъжда,Fillers3_STE-002_mono.wav,Fillers3_STE-002_mono.wav,B,filler3_APN_рокля__B,рокли,рокли,
filler3,APAdvAN,,рокля,В пералнята се перяха намокрените от много силния дъжд,Fillers3_STE-003_mono.wav,Fillers3_STE-003_mono.wav,C,filler3_APAdvAN_рокля__C,рокли,рокли,
filler3,A,,снимка,От чекмеджето се подаваха направените,Fillers3_STE-004_mono.wav,Fillers3_STE-004_mono.wav,C,filler3_A_снимка__C,снимки,снимки,
filler3,APN,,снимка,От чекмеджето се подаваха направените с фотоапарата,Fillers3_STE-005_mono.wav,Fillers3_STE-005_mono.wav,A,filler3_APN_снимка__A,снимки,снимки,
filler3,APAdvAN,,снимка,От чекмеджето се подаваха направените с много скъпия фотоапарат,Fillers3_STE-006_mono.wav,Fillers3_STE-006_mono.wav,B,filler3_APAdvAN_снимка__B,снимки,снимки,
filler3,A,,котка,В градината се криеха избягалите,Fillers3_STE-007_mono.wav,Fillers3_STE-007_mono.wav,B,filler3_A_котка__B,котки,котки,
filler3,APN,,котка,В градината се криеха избягалите от зоомагазина,Fillers3_STE-008_mono.wav,Fillers3_STE-008_mono.wav,C,filler3_APN_котка__C,котки,котки,
filler3,APAdvAN,,котка,В градината се криеха избягалите от много близкия зоомагазин,Fillers3_STE-009_mono.wav,Fillers3_STE-009_mono.wav,A,filler3_APAdvAN_котка__A,котки,котки,
filler3,A,,пъстърва,За вечеря бяха приготвени замразените,Fillers3_STE-010_mono.wav,Fillers3_STE-010_mono.wav,A,filler3_A_пъстърва__A,пъстърви,пъстърви,
filler3,APN,,пъстърва,За вечеря бяха приготвени замразените в хладилника,Fillers3_STE-011_mono.wav,Fillers3_STE-011_mono.wav,B,filler3_APN_пъстърва__B,пъстърви,пъстърви,
filler3,APAdvAN,,пъстърва,За вечеря бяха приготвени замразените в много големия хладилник,Fillers3_STE-012_mono.wav,Fillers3_STE-012_mono.wav,C,filler3_APAdvAN_пъстърва__C,пъстърви,пъстърви,
filler3,A,,терористка,В затвора бяха изпратени осъдените,Fillers3_STE-013_mono.wav,Fillers3_STE-013_mono.wav,C,filler3_A_терористка__C,терористки,терористки,
filler3,APN,,терористка,В затвора бяха изпратени осъдените от съдията,Fillers3_STE-014_mono.wav,Fillers3_STE-014_mono.wav,A,filler3_APN_терористка__A,терористки,терористки,
filler3,APAdvAN,,терористка,В затвора бяха изпратени осъдените от много строгия съдия,Fillers3_STE-015_mono.wav,Fillers3_STE-015_mono.wav,B,filler3_APAdvAN_терористка__B,терористки,терористки,
filler3,A,,работа,В учителската стая се обсъждаха коригираните,Fillers3_STE-016_mono.wav,Fillers3_STE-016_mono.wav,B,filler3_A_работа__B,работи,работи,
filler3,APN,,работа,В учителската стая се обсъждаха коригираните от учителя,Fillers3_STE-017_mono.wav,Fillers3_STE-017_mono.wav,C,filler3_APN_работа__C,работи,работи,
filler3,APAdvAN,,работа,В учителската стая се обсъждаха коригираните от много добрия учител,Fillers3_STE-018_mono.wav,Fillers3_STE-018_mono.wav,A,filler3_APAdvAN_работа__A,работи,работи,
filler3,A,,нива,В продължение на километри се простираха изораните,Fillers3_STE-019_mono.wav,Fillers3_STE-019_mono.wav,A,filler3_A_нива__A,ниви,ниви,
filler3,APN,,нива,В продължение на километри се простираха изораните от селянина,Fillers3_STE-020_mono.wav,Fillers3_STE-020_mono.wav,B,filler3_APN_нива__B,ниви,ниви,
filler3,APAdvAN,,нива,В продължение на километри се простираха изораните от много възрастния селянин,Fillers3_STE-021_mono.wav,Fillers3_STE-021_mono.wav,C,filler3_APAdvAN_нива__C,ниви,ниви,
filler3,A,,традиция,В селото се спазваха характерните,Fillers3_STE-022_mono.wav,Fillers3_STE-022_mono.wav,C,filler3_A_традиция__C,традиции,традиции,
filler3,APN,,традиция,В селото се спазваха характерните за народа,Fillers3_STE-023_mono.wav,Fillers3_STE-023_mono.wav,A,filler3_APN_традиция__A,традиции,традиции,
filler3,APAdvAN,,традиция,В селото се спазваха характерните за много древния народ,Fillers3_STE-024_mono.wav,Fillers3_STE-024_mono.wav,B,filler3_APAdvAN_традиция__B,традиции,традиции,
filler3,A,,крава,На ливадата пасяха обичаните,Fillers3_STE-025_mono.wav,Fillers3_STE-025_mono.wav,B,filler3_A_крава__B,крави,крави,
filler3,APN,,крава,На ливадата пасяха обичаните от стопанина,Fillers3_STE-026_mono.wav,Fillers3_STE-026_mono.wav,C,filler3_APN_крава__C,крави,крави,
filler3,APAdvAN,,крава,На ливадата пасяха обичаните от много милия стопанин,Fillers3_STE-027_mono.wav,Fillers3_STE-027_mono.wav,A,filler3_APAdvAN_крава__A,крави,крави,
filler3,A,,докторка,В махалата болните лекуваха известните,Fillers3_STE-028_mono.wav,Fillers3_STE-028_mono.wav,A,filler3_A_докторка__A,докторки,докторки,
filler3,APN,,докторка,В махалата болните лекуваха известните в региона,Fillers3_STE-029_mono.wav,Fillers3_STE-029_mono.wav,B,filler3_APN_докторка__B,докторки,докторки,
filler3,APAdvAN,,докторка,В махалата болните лекуваха известните в много големия регион,Fillers3_STE-030_mono.wav,Fillers3_STE-030_mono.wav,C,filler3_APAdvAN_докторка__C,докторки,докторки,
filler3,A,,звезда,На небето светеха впечатляващите,Fillers3_STE-031_mono.wav,Fillers3_STE-031_mono.wav,C,filler3_A_звезда__C,звезди,звезди,
filler3,APN,,звезда,На небето светеха впечатляващите моряка,Fillers3_STE-032_mono.wav,Fillers3_STE-032_mono.wav,A,filler3_APN_звезда__A,звезди,звезди,
filler3,APAdvAN,,звезда,На небето светеха впечатляващите много стария моряк,Fillers3_STE-033_mono.wav,Fillers3_STE-033_mono.wav,B,filler3_APAdvAN_звезда__B,звезди,звезди,
filler3,A,,пациентка,В болницата чакаха ранените,Fillers3_STE-034_mono.wav,Fillers3_STE-034_mono.wav,B,filler3_A_пациентка__B,пациентки,пациентки,
filler3,APN,,пациентка,В болницата чакаха ранените от вълка,Fillers3_STE-035_mono.wav,Fillers3_STE-035_mono.wav,C,filler3_APN_пациентка__C,пациентки,пациентки,
filler3,APAdvAN,,пациентка,В болницата чакаха ранените от много агресивния вълк,Fillers3_STE-036_mono.wav,Fillers3_STE-036_mono.wav,A,filler3_APAdvAN_пациентка__A,пациентки,пациентки,
filler3,A,,скала,Миналия месец рухнаха напуканите,Fillers3_STE-037_mono.wav,Fillers3_STE-037_mono.wav,A,filler3_A_скала__A,скали,скали,
filler3,APN,,скала,Миналия месец рухнаха напуканите през лятото,Fillers3_STE-038_mono.wav,Fillers3_STE-038_mono.wav,B,filler3_APN_скала__B,скали,скали,
filler3,APAdvAN,,скала,Миналия месец рухнаха напуканите през много горещото лято,Fillers3_STE-039_mono.wav,Fillers3_STE-039_mono.wav,C,filler3_APAdvAN_скала__C,скали,скали,
filler3,A,,картичка,Онази нощ децата радваха надписаните,Fillers3_STE-040_mono.wav,Fillers3_STE-040_mono.wav,C,filler3_A_картичка__C,картички,картички,
filler3,APN,,картичка,Онази нощ децата радваха надписаните със старание,Fillers3_STE-041_mono.wav,Fillers3_STE-041_mono.wav,A,filler3_APN_картичка__A,картички,картички,
filler3,APAdvAN,,картичка,Онази нощ децата радваха надписаните с много голямо старание,Fillers3_STE-042_mono.wav,Fillers3_STE-042_mono.wav,B,filler3_APAdvAN_картичка__B,картички,картички,
filler3,A,,течност,На сутринта се разсипаха налетите,Fillers3_STE-043_mono.wav,Fillers3_STE-043_mono.wav,B,filler3_A_течност__B,течности,течности,
filler3,APN,,течност,На сутринта се разсипаха налетите в гърнето,Fillers3_STE-044_mono.wav,Fillers3_STE-044_mono.wav,C,filler3_APN_течност__C,течности,течности,
filler3,APAdvAN,,течност,На сутринта се разсипаха налетите в много голямото гърне,Fillers3_STE-045_mono.wav,Fillers3_STE-045_mono.wav,A,filler3_APAdvAN_течност__A,течности,течности,
filler3,A,,мисионерка,В манастира се укриваха избягалите,Fillers3_STE-046_mono.wav,Fillers3_STE-046_mono.wav,A,filler3_A_мисионерка__A,мисионерки,мисионерки,
filler3,APN,,мисионерка,В манастира се укриваха избягалите след приключението,Fillers3_STE-047_mono.wav,Fillers3_STE-047_mono.wav,B,filler3_APN_мисионерка__B,мисионерки,мисионерки,
filler3,APAdvAN,,мисионерка,В манастира се укриваха избягалите след много опасното приключение,Fillers3_STE-048_mono.wav,Fillers3_STE-048_mono.wav,C,filler3_APAdvAN_мисионерка__C,мисионерки,мисионерки,
filler3,A,,джанка,На земята паднаха висящите,Fillers3_STE-049_mono.wav,Fillers3_STE-049_mono.wav,C,filler3_A_джанка__C,джанки,джанки,
filler3,APN,,джанка,На земята паднаха висящите на клончето,Fillers3_STE-050_mono.wav,Fillers3_STE-050_mono.wav,A,filler3_APN_джанка__A,джанки,джанки,
filler3,APAdvAN,,джанка,На земята паднаха висящите на много тънкото клонче,Fillers3_STE-051_mono.wav,Fillers3_STE-051_mono.wav,B,filler3_APAdvAN_джанка__B,джанки,джанки,
filler3,A,,специалистка,Върху проблема работеха изморените,Fillers3_STE-052_mono.wav,Fillers3_STE-052_mono.wav,B,filler3_A_специалистка__B,специалистки,специалистки,
filler3,APN,,специалистка,Върху проблема работеха изморените след безсъние,Fillers3_STE-053_mono.wav,Fillers3_STE-053_mono.wav,C,filler3_APN_специалистка__C,специалистки,специалистки,
filler3,APAdvAN,,специалистка,Върху проблема работеха изморените след много дълго безсъние,Fillers3_STE-054_mono.wav,Fillers3_STE-054_mono.wav,A,filler3_APAdvAN_специалистка__A,специалистки,специалистки,
filler3,A,,спринтьорка,Състезанието спечелиха изтощените,Fillers3_STE-055_mono.wav,Fillers3_STE-055_mono.wav,A,filler3_A_спринтьорка__A,спринтьорки,спринтьорки,
filler3,APN,,спринтьорка,Състезанието спечелиха изтощените след бягането,Fillers3_STE-056_mono.wav,Fillers3_STE-056_mono.wav,B,filler3_APN_спринтьорка__B,спринтьорки,спринтьорки,
filler3,APAdvAN,,спринтьорка,Състезанието спечелиха изтощените след много дългото бягане,Fillers3_STE-057_mono.wav,Fillers3_STE-057_mono.wav,C,filler3_APAdvAN_спринтьорка__C,спринтьорки,спринтьорки,
filler3,A,,госпожа,В къщата кръвното си мереха отслабналите,Fillers3_STE-058_mono.wav,Fillers3_STE-058_mono.wav,C,filler3_A_госпожа__C,госпожи,госпожи,
filler3,APN,,госпожа,В къщата кръвното си мереха отслабналите след боледуването,Fillers3_STE-059_mono.wav,Fillers3_STE-059_mono.wav,A,filler3_APN_госпожа__A,госпожи,госпожи,
filler3,APAdvAN,,госпожа,В къщата кръвното си мереха отслабналите след много тежкото боледуване,Fillers3_STE-060_mono.wav,Fillers3_STE-060_mono.wav,B,filler3_APAdvAN_госпожа__B,госпожи,госпожи,
filler3,A,,част,Снощи се смениха счупените,Fillers3_STE-061_mono.wav,Fillers3_STE-061_mono.wav,B,filler3_A_част__B,части,части,
filler3,APN,,част,Снощи се смениха счупените с чукчето,Fillers3_STE-062_mono.wav,Fillers3_STE-062_mono.wav,C,filler3_APN_част__C,части,части,
filler3,APAdvAN,,част,Снощи се смениха счупената с много здравото чукче,Fillers3_STE-063_mono.wav,Fillers3_STE-063_mono.wav,A,filler3_APAdvAN_част__A,части,части,
filler3,A,,поляна,През пролетта се раззелениха скритите,Fillers3_STE-064_mono.wav,Fillers3_STE-064_mono.wav,A,filler3_A_поляна__A,поляни,поляни,
filler3,APN,,поляна,През пролетта се раззелениха скритите зад хълмчето,Fillers3_STE-065_mono.wav,Fillers3_STE-065_mono.wav,B,filler3_APN_поляна__B,поляни,поляни,
filler3,APAdvAN,,поляна,През пролетта се раззелениха скритите зад много ниското хълмче,Fillers3_STE-066_mono.wav,Fillers3_STE-066_mono.wav,C,filler3_APAdvAN_поляна__C,поляни,поляни,
filler3,A,,алпинистка,В хижата се настаниха измръзналите,Fillers3_STE-067_mono.wav,Fillers3_STE-067_mono.wav,C,filler3_A_алпинистка__C,алпинистки,алпинистки,
filler3,APN,,алпинистка,В хижата се настаниха измръзналите след изкачването,Fillers3_STE-068_mono.wav,Fillers3_STE-068_mono.wav,A,filler3_APN_алпинистка__A,алпинистки,алпинистки,
filler3,APAdvAN,,алпинистка,В хижата се настаниха измръзналите след много трудното изкачване,Fillers3_STE-069_mono.wav,Fillers3_STE-069_mono.wav,B,filler3_APAdvAN_алпинистка__B,алпинистки,алпинистки,
filler3,A,,дума,На листа трудно се четяха написаните,Fillers3_STE-070_mono.wav,Fillers3_STE-070_mono.wav,B,filler3_A_дума__B,думи,думи,
filler3,APN,,дума,На листа трудно се четяха написаните с мастило,Fillers3_STE-071_mono.wav,Fillers3_STE-071_mono.wav,C,filler3_APN_дума__C,думи,думи,
filler3,APAdvAN,,дума,На листа трудно се четяха написаните с много вредно мастило,Fillers3_STE-072_mono.wav,Fillers3_STE-072_mono.wav,A,filler3_APAdvAN_дума__A,думи,думи,
